id;code;name;short_name;valid_from_date;valid_to_date;mod_date;mod_user
1;mobile Fish;Home Loan Account Table Computer;Trace;2019-08-07T05:11:04;2019-08-06T22:46:00;2019-08-07T09:45:52;deposit Tasty Metal Bacon Implementation
2;Chips;Money Market Account;Albania web-readiness;2019-08-07T06:12:14;2019-08-07T00:35:56;2019-08-06T22:30:32;Steel zero administration
3;Multi-channelled Licensed;grey Cambridgeshire;Canyon HDD;2019-08-06T20:51:58;2019-08-07T09:06:03;2019-08-07T02:22:53;Automotive
4;Planner cross-platform access;Public-key;infomediaries;2019-08-07T10:15:52;2019-08-06T22:33:13;2019-08-07T01:18:33;Games Regional Digitized
5;copy convergence;Mayotte;Industrial;2019-08-06T16:58:43;2019-08-06T18:35:25;2019-08-07T02:23:57;e-enable Communications capacitor
6;Awesome;Aruba;software scale interactive;2019-08-06T17:18:14;2019-08-06T23:06:41;2019-08-07T04:37:53;mission-critical Faroe Islands Plastic
7;Car Industrial deliverables;orange Books;magenta monitor 1080p;2019-08-06T22:39:01;2019-08-07T11:24:58;2019-08-06T14:57:44;deposit Internal
8;Investment Account archive Fantastic Plastic Chicken;payment;withdrawal COM;2019-08-07T01:51:37;2019-08-07T04:00:11;2019-08-07T10:19:23;bus synthesize Idaho
9;Networked Sleek Metal Table Small;Intelligent Outdoors;Harbor Montana;2019-08-06T20:30:04;2019-08-06T15:24:43;2019-08-07T09:50:58;Investment Account
10;override User-centric;Money Market Account;Salad Web virtual;2019-08-06T21:59:30;2019-08-07T10:39:41;2019-08-06T16:16:42;digital maroon
