id;code;name;valid_to_date;mod_date;mod_user
1;EXE projection Fresh;support Gorgeous;2019-08-07T07:43:23;2019-08-06T21:38:56;Jewelery cutting-edge
2;Games;Iraq Bedfordshire;2019-08-06T20:34:30;2019-08-07T10:19:00;24/7
3;Gloves sky blue Oklahoma;robust Engineer;2019-08-06T14:05:42;2019-08-07T07:16:06;Moroccan Dirham
4;capability zero tolerance Computers;Analyst paradigms;2019-08-07T12:24:01;2019-08-07T06:30:21;Investor Public-key
5;Lebanon;Designer Persistent;2019-08-06T21:03:44;2019-08-07T11:15:10;24/7 Re-contextualized cross-platform
6;invoice withdrawal;bypassing optical;2019-08-07T09:34:34;2019-08-07T05:29:41;magenta Refined Rubber Gloves
7;red firewall open-source;deposit Sausages;2019-08-06T20:36:40;2019-08-07T03:39:06;Cambridgeshire hacking
8;bricks-and-clicks Concrete Global;Fiji Dollar Profound Bacon;2019-08-06T13:37:18;2019-08-06T23:52:07;Equatorial Guinea Vision-oriented
9;Agent;Human deposit;2019-08-07T05:03:24;2019-08-07T06:30:02;Saint Helena Pound programming
10;AI optical invoice;Marketing;2019-08-06T18:20:43;2019-08-06T15:37:42;Home Loan Account Tools Unbranded
